species,accession,taxid,order,suborder,infraorder,superfamily,family,subfamily
Encarsia_sophia,GCA_041053325.1,121815,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Coccophaginae
Ephialtes_manifestator,GCA_963970395.1,65333,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Eremotylus_marginatus,GCA_965218635.1,2998532,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Eretmocerus_hayati,GCA_029851415.1,131215,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Aphelininae
Eutomostethus_luteiventris,GCA_964662225.1,1385253,Hymenoptera,NaN,NaN,Tenthredinoidea,Tenthredinidae,Blennocampinae
Exephanes_ischioxanthus,GCA_958510785.1,2884240,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Formica_rufa,GCA_964276525.1,258706,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Formica_selysi,GCA_009859135.1,208979,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Gasteruption_jaculator,GCA_949825005.1,2718756,Hymenoptera,Apocrita,NaN,Evanioidea,Gasteruptiidae,NaN
Gastracanthus_pulcherrimus,GCA_949152435.1,2922068,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Pteromalidae,Pteromalinae
Gelis_areator,GCA_964059375.1,2163653,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Phygadeuontinae
Halictus_ligatus,GCA_028454255.1,77576,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Halictus_quadricinctus,GCA_028454245.1,115107,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Halictus_rubicundus,GCA_050948215.1,77578,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Hedychridium_roseum,GCA_963989215.1,212591,Hymenoptera,Apocrita,Aculeata,Chrysidoidea,Chrysididae,Chrysidinae
Heteropelma_amictum,GCA_959613375.1,494771,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Anomaloninae
Hylaeus_volcanicus,GCA_026283585.1,313075,Hymenoptera,Apocrita,Aculeata,Apoidea,Colletidae,Hylaeinae
Hyposoter_dolosus,GCA_963921915.1,2884228,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Campopleginae
Ichneumon_xanthorius,GCA_917499995.1,2795680,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Ischnus_inquisitorius,GCA_963924025.1,904094,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cryptinae
Itoplectis_maculator,GCA_964034905.1,2776046,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Lasioglossum_baleicum,GCA_051020765.1,434251,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_calceatum,GCA_963966675.1,88504,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_figueresi,GCA_028455805.1,160208,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_lativentre,GCA_916610255.1,88531,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_leucozonium,GCA_965262445.1,88532,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_malachurum,GCA_028455605.1,88512,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
